--- input01.txt ---
Parallelogram = 225.0
Cone = 5089.380098815464
Trapeze = 77.0
Triangle = 0
TriangularPrism = 0.0
Rectangle = 264.0
Rectangle = 72.0
QuadrangularPyramid = 1050.0
QuadrangularPyramid = 228.0
Cone = 302.6400922958167
Rectangle = 4.0
Triangle = 59.22151213874904
RectangularParallelepiped = 230.0
Circle = 78.53981633974483
QuadrangularPyramid = 177.33333333333331
Parallelogram = 64.0
QuadrangularPyramid = 916.6666666666666
RectangularParallelepiped = 0.0
RectangularParallelepiped = 85.0
QuadrangularPyramid = 4216.666666666666
RectangularParallelepiped = 8303.0
RectangularParallelepiped = 240.0
Circle = 201.06192982974676
Rectangle = 27.0
Parallelogram = 460.0
Ball = 11494.040321933855
Cone = 318.3480555637657
Cone = 26.17993877991494
TriangularPrism = 0.0
Ball = 28730.912014629852
Circle = 1017.8760197630929
Circle = 254.46900494077323
QuadrangularPyramid = 304.0
Trapeze = 84.0
TriangularPyramid = 542.276240336356
TriangularPrism = 0.0
Rectangle = 45.0
Triangle = 0
Parallelogram = 238.0
Circle = 78.53981633974483
RectangularParallelepiped = 540.0
Triangle = 0
QuadrangularPyramid = 88.66666666666666
QuadrangularPyramid = 346.66666666666663
Rectangle = 26.0
TriangularPrism = 224.21738893315123
Parallelogram = 418.0
Triangle = 0
Triangle = 0
Rectangle = 0.0
TriangularPyramid = 268.9008878750682
Ball = 33510.32163829113
QuadrangularPyramid = 0.0
TriangularPyramid = 369.50417228136047
RectangularParallelepiped = 3872.0
Trapeze = 56.0
QuadrangularPyramid = 112.0
Triangle = 0
TriangularPyramid = 1464.0159450975932
Trapeze = 77.0
Trapeze = 130.0
Circle = 314.1592653589793
QuadrangularPyramid = 144.0
TriangularPyramid = 1908.8643275082
Parallelogram = 187.0
Trapeze = 60.0
Ball = 50965.01042163601
Triangle = 0
Ball = 7238.229473870882
Circle = 113.09733552923255
QuadrangularPyramid = 1496.0
QuadrangularPyramid = 233.33333333333331
Rectangle = 75.0
Cone = 0.0
Triangle = 145.4922678357857
Ball = 2144.660584850632
TriangularPyramid = 419.15629543166824
Cone = 13873.273158252527
RectangularParallelepiped = 648.0
Parallelogram = 180.0
Trapeze = 0.0
TriangularPrism = 0.0
Circle = 452.3893421169302
Trapeze = 56.0
Cone = 418.87902047863906
Trapeze = 25.0
Cone = 2617.993877991494
QuadrangularPyramid = 1292.0
Trapeze = 25.5
QuadrangularPyramid = 1343.9999999999998
Triangle = 0
TriangularPyramid = 1247.0765814495915
TriangularPrism = 807.1826001593445
QuadrangularPyramid = 762.6666666666666
Circle = 50.26548245743669
Cone = 2356.194490192345
Cone = 1847.2564803107982
QuadrangularPyramid = 633.3333333333333
Triangle = 0
Rectangle = 12.0
TriangularPrism = 1075.9883828369152
TriangularPrism = 0.0
Cone = 12187.285100826004
QuadrangularPyramid = 48.0
Trapeze = 84.0
Trapeze = 9.0
TriangularPyramid = 23.09401076758503
Parallelogram = 63.0
RectangularParallelepiped = 1848.0
Parallelogram = 420.0
Trapeze = 126.0
Ball = 44602.23810056549
Ball = 24429.02447431423
Triangle = 0
TriangularPyramid = 230.9401076758503
TriangularPrism = 382.7205246651922
RectangularParallelepiped = 720.0
TriangularPrism = 0.0
QuadrangularPyramid = 144.0
Cone = 2094.3951023931954
Circle = 380.132711084365
Parallelogram = 475.0
Cone = 11079.350091660002
Triangle = 0
Parallelogram = 90.0
Triangle = 71.13367697511495
RectangularParallelepiped = 1568.0
Triangle = 40.84345112744514
TriangularPyramid = 1908.8643275082
Ball = 33510.32163829113
Ball = 7238.229473870882
Parallelogram = 529.0
Rectangle = 95.0
Trapeze = 126.0
Rectangle = 56.0
Rectangle = 360.0
Ball = 44602.23810056549
RectangularParallelepiped = 7392.0
RectangularParallelepiped = 210.0
Parallelogram = 120.0
Parallelogram = 240.0
Parallelogram = 32.0
Circle = 113.09733552923255
Parallelogram = 40.0
Cone = 1413.7166941154069
Cone = 234.57225146803788
Rectangle = 528.0
Cone = 4914.498107765632
QuadrangularPyramid = 1280.0
Circle = 452.3893421169302
TriangularPyramid = 959.4118098258605
Parallelogram = 196.0
Ball = 9202.7720799157
Parallelogram = 240.0
Cone = 1963.4954084936207
Triangle = 67.61240640592524
Rectangle = 26.0
QuadrangularPyramid = 192.0
Ball = 7238.229473870882
Rectangle = 0.0
RectangularParallelepiped = 1632.0
Ball = 57905.83579096706
Triangle = 0
Ball = 2144.660584850632
RectangularParallelepiped = 4320.0
Rectangle = 66.0
Rectangle = 60.0
Circle = 12.566370614359172
Trapeze = 15.5
Circle = 530.929158456675
Triangle = 194.53068524014407
Rectangle = 140.0
TriangularPrism = 0.0
Triangle = 53.0659966456864
TriangularPrism = 98.38699100999075
Trapeze = 27.0
Cone = 12741.252605409003
RectangularParallelepiped = 2640.0
Ball = 50965.01042163601
RectangularParallelepiped = 210.0
Triangle = 0
TriangularPrism = 0.0
TriangularPyramid = 303.1088913245535
Rectangle = 85.0
Circle = 1661.9025137490005
RectangularParallelepiped = 0.0
Triangle = 0
RectangularParallelepiped = 4370.0
Trapeze = 100.0
QuadrangularPyramid = 0.0
RectangularParallelepiped = 880.0
Trapeze = 46.0
Ball = 28730.912014629852
Parallelogram = 209.0
Triangle = 207.12315177207978
TriangularPyramid = 5.773502691896257
QuadrangularPyramid = 700.0
Trapeze = 34.0
Circle = 113.09733552923255
TriangularPrism = 0.0
Circle = 1385.4423602330987
RectangularParallelepiped = 336.0
RectangularParallelepiped = 805.0
Ball = 65449.84694978735
Ball = 523.5987755982989
Rectangle = 135.0
Rectangle = 475.0
QuadrangularPyramid = 1333.3333333333333
Triangle = 137.4772708486752
Parallelogram = 432.0
Trapeze = 21.0
Rectangle = 441.0
QuadrangularPyramid = 400.0
Cone = 1256.637061435917
RectangularParallelepiped = 1425.0
Circle = 706.8583470577034
Rectangle = 221.0
Parallelogram = 10.0
Triangle = 122.96340919151518
TriangularPyramid = 534.482011702296
TriangularPrism = 268.5665653055123
Parallelogram = 100.0
Trapeze = 66.0
Triangle = 0
TriangularPyramid = 841.7766924784744
Triangle = 56.28498911788115
Triangle = 92.30486173544706
Parallelogram = 312.0
Cone = 3619.1147369354417
QuadrangularPyramid = 50.0
TriangularPyramid = 53.116224765445565
TriangularPrism = 787.095928079926
Rectangle = 169.0
Triangle = 0
Rectangle = 0.0
Trapeze = 50.0
QuadrangularPyramid = 1516.6666666666665
QuadrangularPyramid = 80.0
Ball = 24429.02447431423
Rectangle = 308.0
Cone = 50.26548245743669
Triangle = 76.5061272056036
Triangle = 24.437420076595647
Trapeze = 32.5
Triangle = 0
Rectangle = 38.0
Triangle = 103.81202964974725
Rectangle = 10.0
Ball = 0.0
RectangularParallelepiped = 0.0
RectangularParallelepiped = 11592.0
Circle = 1809.5573684677208
RectangularParallelepiped = 1596.0
Trapeze = 80.0
TriangularPrism = 0.0
Cone = 50.26548245743669
Ball = 44602.23810056549
Ball = 1436.7550402417319
RectangularParallelepiped = 100.0
Circle = 452.3893421169302
TriangularPyramid = 194.85571585149864
Trapeze = 27.0
Trapeze = 78.0
Trapeze = 101.5
Rectangle = 42.0
Trapeze = 45.0
Rectangle = 50.0
TriangularPrism = 0.0
TriangularPrism = 0.0
Triangle = 0
RectangularParallelepiped = 1254.0
TriangularPrism = 0.0
QuadrangularPyramid = 13.333333333333332
RectangularParallelepiped = 768.0
TriangularPyramid = 157.1836107868756
TriangularPrism = 0.0
TriangularPyramid = 0.0
Parallelogram = 18.0
Ball = 38792.38608652676
RectangularParallelepiped = 2640.0
QuadrangularPyramid = 132.0
Ball = 65449.84694978735
TriangularPyramid = 75.77722283113837
Trapeze = 216.0
Circle = 907.9202768874502
Circle = 3.141592653589793
QuadrangularPyramid = 0.0
Circle = 78.53981633974483
TriangularPrism = 0.0
Parallelogram = 60.0
TriangularPyramid = 1001.1253667748109
TriangularPrism = 0.0
Rectangle = 85.0
RectangularParallelepiped = 4760.0
Parallelogram = 198.0
RectangularParallelepiped = 72.0
QuadrangularPyramid = 1280.0
Triangle = 125.97990911252477
Cone = 9123.185066024758
Trapeze = 72.5
Rectangle = 150.0
Trapeze = 30.0
TriangularPrism = 3791.350147045245
QuadrangularPyramid = 66.66666666666666
Ball = 11494.040321933855
Cone = 2770.8847204661975
TriangularPyramid = 99.0155711660208
QuadrangularPyramid = 1870.0
TriangularPrism = 0.0
Ball = 9202.7720799157
QuadrangularPyramid = 1120.0
Cone = 2563.539605329271
TriangularPyramid = 954.7930076723434
Cone = 11083.53888186479
Rectangle = 52.0
QuadrangularPyramid = 756.0
Trapeze = 33.0
Ball = 5575.279762570686
Trapeze = 255.0
RectangularParallelepiped = 126.0
TriangularPyramid = 46.18802153517006
Rectangle = 21.0
Cone = 4581.4892864851145
Trapeze = 80.0
Trapeze = 24.0
Parallelogram = 418.0
TriangularPrism = 0.0
Rectangle = 3.0
Rectangle = 0.0
TriangularPrism = 0.0
Triangle = 0
Cone = 0.0
RectangularParallelepiped = 160.0
QuadrangularPyramid = 0.0
Trapeze = 294.0
Circle = 1809.5573684677208
Ball = 4.1887902047863905
Trapeze = 120.0
Trapeze = 32.0
Trapeze = 36.0
Circle = 113.09733552923255
RectangularParallelepiped = 75.0
QuadrangularPyramid = 957.6666666666665
Parallelogram = 150.0
Trapeze = 310.0
QuadrangularPyramid = 2576.0
TriangularPyramid = 333.70845559160364
Rectangle = 5.0
Circle = 201.06192982974676
Parallelogram = 240.0
Triangle = 31.830606340439072
Cone = 2769.8375229150006
TriangularPyramid = 155.5958975466041
Cone = 7263.362215099602
RectangularParallelepiped = 2240.0
Ball = 57905.83579096706
TriangularPyramid = 230.9401076758503
Triangle = 8.94427190999916
Trapeze = 24.0
RectangularParallelepiped = 5016.0
Circle = 3.141592653589793
Ball = 65449.84694978735
Circle = 907.9202768874502
Ball = 24429.02447431423
QuadrangularPyramid = 366.66666666666663
QuadrangularPyramid = 264.0
Cone = 10471.975511965977
Triangle = 0
QuadrangularPyramid = 429.0
Cone = 3166.7253948185116
Triangle = 0
Triangle = 0
Triangle = 26.989581323169872
Triangle = 46.4327470649756
Trapeze = 273.0
RectangularParallelepiped = 72.0
TriangularPyramid = 42.43524478543749
Circle = 1661.9025137490005
RectangularParallelepiped = 528.0
QuadrangularPyramid = 0.0
Trapeze = 25.0
QuadrangularPyramid = 0.0
TriangularPyramid = 9.237604307034012
Circle = 28.274333882308138
TriangularPrism = 0.0
TriangularPrism = 796.8939703624316
TriangularPrism = 0.0
Circle = 153.93804002589985
Cone = 7755.545064162003
TriangularPyramid = 120.08885599144216
Ball = 113.09733552923254
QuadrangularPyramid = 1507.3333333333333
Trapeze = 65.0
Triangle = 98.2926116246791
Cone = 513.1268000863329
QuadrangularPyramid = 13.999999999999998
TriangularPyramid = 1443.3756729740644
Cone = 837.7580409572781
Ball = 2144.660584850632
TriangularPrism = 34.64101615137755
TriangularPrism = 0.0
QuadrangularPyramid = 951.9999999999999
QuadrangularPyramid = 513.3333333333333
Rectangle = 221.0
TriangularPyramid = 888.5420642828341
Parallelogram = 352.0
Ball = 904.7786842338603
Parallelogram = 225.0
RectangularParallelepiped = 4928.0
QuadrangularPyramid = 0.0
Ball = 1436.7550402417319
RectangularParallelepiped = 1155.0
TriangularPyramid = 0.0
Rectangle = 40.0
Parallelogram = 90.0
QuadrangularPyramid = 373.3333333333333
QuadrangularPyramid = 574.9999999999999
Parallelogram = 64.0
QuadrangularPyramid = 2683.333333333333
Triangle = 50.08180807438965
Rectangle = 44.0
Triangle = 13.635890143294644
Parallelogram = 0.0
Circle = 113.09733552923255
Parallelogram = 225.0
Circle = 1385.4423602330987
QuadrangularPyramid = 0.0
Rectangle = 252.0
Triangle = 44.79327516491733
Triangle = 0
Rectangle = 323.0
Parallelogram = 81.0
Cone = 33.510321638291124
Circle = 1520.53084433746
Parallelogram = 18.0
RectangularParallelepiped = 2304.0
Rectangle = 242.0
Rectangle = 8.0
TriangularPyramid = 0.0
QuadrangularPyramid = 433.3333333333333
Trapeze = 24.0
Cone = 1520.5308443374597
RectangularParallelepiped = 3927.0
Rectangle = 153.0
TriangularPyramid = 454.6633369868302
Parallelogram = 286.0
RectangularParallelepiped = 1520.0
TriangularPyramid = 158.77132402714707
TriangularPrism = 2063.9994549417884
QuadrangularPyramid = 762.6666666666666
Cone = 402.1238596594935
TriangularPyramid = 141.45081595145828
Circle = 78.53981633974483
TriangularPrism = 0.0
Cone = 2513.274122871834
QuadrangularPyramid = 210.0
TriangularPrism = 0.0
TriangularPrism = 1633.6781927601285
Cone = 9698.09652163169
RectangularParallelepiped = 10.0
Trapeze = 170.5
Cone = 3026.400922958167
Ball = 33510.32163829113
Cone = 1047.1975511965977
TriangularPrism = 0.0
Cone = 8616.341451245606
Trapeze = 304.5
Ball = 9202.7720799157
Rectangle = 100.0
Trapeze = 0.0
Cone = 380.1327110843649
Cone = 256.56340004316644
Trapeze = 44.0

--- input03.txt ---
RectangularParallelepiped = 6336.0
Triangle = 0
Trapeze = 71.5
RectangularParallelepiped = 1170.0
TriangularPrism = 0.0
TriangularPrism = 0.0
Rectangle = 200.0
TriangularPrism = 232.16373532487802
Triangle = 20.33316256758894
Parallelogram = 360.0
Triangle = 0
TriangularPrism = 1964.4703484654585
TriangularPyramid = 67.5499814951862
TriangularPrism = 654.2660009506837
TriangularPrism = 885.2284662729729
Rectangle = 275.0
Trapeze = 45.0
Parallelogram = 170.0
Cone = 11150.559525141372
Rectangle = 126.0
Parallelogram = 115.0
Circle = 1520.53084433746
TriangularPyramid = 365.89573309892523
Triangle = 0
Rectangle = 200.0
Cone = 28.274333882308138
Parallelogram = 120.0
Trapeze = 62.5
TriangularPyramid = 374.1229744348775
QuadrangularPyramid = 1936.0
Triangle = 0
QuadrangularPyramid = 252.0
TriangularPrism = 0.0
TriangularPyramid = 83.1384387633061
QuadrangularPyramid = 1533.333333333333
TriangularPrism = 0.0
Triangle = 165.51265057390628
Rectangle = 225.0
QuadrangularPyramid = 680.0
Cone = 5445.4272662223075
Ball = 9202.7720799157
Rectangle = 552.0
Cone = 2123.7166338266998
Circle = 12.566370614359172
Rectangle = 216.0
Parallelogram = 228.0
Parallelogram = 221.0
RectangularParallelepiped = 1274.0
Rectangle = 126.0
QuadrangularPyramid = 0.0
RectangularParallelepiped = 300.0
Circle = 28.274333882308138
Cone = 2668.2593604489307
Rectangle = 27.0
TriangularPyramid = 64.9519052838329
Circle = 452.3893421169302
Rectangle = 35.0
RectangularParallelepiped = 1040.0
Ball = 113.09733552923254
Rectangle = 85.0
Triangle = 0
Triangle = 0
Ball = 7238.229473870882
Trapeze = 78.0
Ball = 17157.284678805056
Parallelogram = 34.0
Parallelogram = 304.0
Circle = 804.247719318987
Cone = 2094.3951023931954
Trapeze = 85.0
Trapeze = 20.0
Circle = 804.247719318987
Triangle = 0
Triangle = 98.99494936611666
Circle = 1963.4954084936207
RectangularParallelepiped = 3570.0
TriangularPrism = 0.0
Triangle = 30.974788134868653
Triangle = 0
Cone = 628.3185307179585
Ball = 50965.01042163601
RectangularParallelepiped = 4256.0
Circle = 0.0
Ball = 57905.83579096706
Trapeze = 37.5
Ball = 24429.02447431423
RectangularParallelepiped = 600.0
Cone = 3078.7608005179973
Parallelogram = 6.0
Triangle = 0
Circle = 1385.4423602330987
TriangularPyramid = 1018.4458748504996
QuadrangularPyramid = 528.0
Parallelogram = 24.0
TriangularPrism = 70.28513356322232
RectangularParallelepiped = 0.0
Circle = 615.7521601035994
TriangularPrism = 0.0
Ball = 904.7786842338603
Ball = 523.5987755982989
Parallelogram = 57.0
Circle = 1385.4423602330987
Circle = 0.0
TriangularPrism = 0.0
Parallelogram = 138.0
Cone = 1013.6872295583065
TriangularPrism = 0.0
RectangularParallelepiped = 20.0
Rectangle = 80.0
Parallelogram = 28.0
Cone = 603.1857894892403
QuadrangularPyramid = 651.6666666666665
TriangularPrism = 0.0
TriangularPyramid = 1018.4458748504996
TriangularPrism = 0.0
Rectangle = 135.0
Parallelogram = 20.0
RectangularParallelepiped = 2457.0
TriangularPyramid = 959.4118098258605
Parallelogram = 28.0
TriangularPyramid = 609.8262218315421
Ball = 50965.01042163601
Triangle = 81.61456671452713
RectangularParallelepiped = 90.0
Rectangle = 39.0
Parallelogram = 0.0
Circle = 28.274333882308138
RectangularParallelepiped = 988.0
RectangularParallelepiped = 4375.0
RectangularParallelepiped = 1080.0
Parallelogram = 184.0
Triangle = 35.929618701010455
Triangle = 0
RectangularParallelepiped = 1760.0
Rectangle = 144.0
TriangularPrism = 0.0
RectangularParallelepiped = 6384.0
TriangularPrism = 0.0
TriangularPyramid = 1397.1876514388941
Cone = 7464.424144929348
TriangularPrism = 137.80216798004304
Trapeze = 286.0
Parallelogram = 340.0
TriangularPrism = 0.0
QuadrangularPyramid = 804.9999999999999
Circle = 254.46900494077323
RectangularParallelepiped = 3234.0
Rectangle = 175.0
Ball = 1436.7550402417319
RectangularParallelepiped = 748.0
TriangularPrism = 0.0
TriangularPrism = 0.0
Cone = 1608.495438637974
Parallelogram = 189.0
Cone = 6702.064327658225
Rectangle = 6.0
Triangle = 0
Ball = 904.7786842338603
Parallelogram = 60.0
TriangularPyramid = 317.1096353524019
TriangularPyramid = 0.0
Ball = 20579.526276115535
RectangularParallelepiped = 161.0
QuadrangularPyramid = 273.0
TriangularPrism = 194.27927707298068
Circle = 452.3893421169302
Circle = 1134.1149479459152
QuadrangularPyramid = 1440.0
Ball = 33510.32163829113
TriangularPrism = 0.0
Ball = 4188.790204786391
RectangularParallelepiped = 0.0
Parallelogram = 96.0
Ball = 20579.526276115535
Triangle = 4.493050188902857
Cone = 0.0
Parallelogram = 10.0
Cone = 575.9586531581288
Cone = 769.6902001294993
Ball = 5575.279762570686
TriangularPrism = 0.0
TriangularPrism = 512.4997560975029
Circle = 1661.9025137490005
QuadrangularPyramid = 897.0
QuadrangularPyramid = 90.66666666666666
Parallelogram = 396.0
Cone = 10.471975511965976
Triangle = 0
Cone = 134.0412865531645
TriangularPyramid = 935.3074360871938
Triangle = 0
Ball = 38792.38608652676
QuadrangularPyramid = 0.0
RectangularParallelepiped = 960.0
Parallelogram = 60.0
QuadrangularPyramid = 21.0
Parallelogram = 10.0
TriangularPrism = 0.0
Trapeze = 225.0
Circle = 50.26548245743669
Cone = 1393.8199406426716
Rectangle = 380.0
RectangularParallelepiped = 520.0
Rectangle = 104.0
TriangularPyramid = 1250.5406830647294
Circle = 113.09733552923255
QuadrangularPyramid = 1904.0
Ball = 44602.23810056549
Cone = 5079.955320854695
Triangle = 41.42463035441596
Parallelogram = 352.0
Cone = 339.29200658769764
RectangularParallelepiped = 240.0
TriangularPyramid = 52.39453692895853
Cone = 414.6902302738527
Cone = 791.6813487046279
Triangle = 14.966629547095765
RectangularParallelepiped = 912.0
Rectangle = 322.0
QuadrangularPyramid = 1317.3333333333333
QuadrangularPyramid = 99.66666666666666
Rectangle = 0.0
TriangularPrism = 635.9960200347168
Ball = 4.1887902047863905
QuadrangularPyramid = 378.0
Ball = 44602.23810056549
Ball = 17157.284678805056
Trapeze = 0.0
Parallelogram = 10.0
TriangularPrism = 959.9666660879428
Ball = 7238.229473870882
Triangle = 0
Trapeze = 187.0
Rectangle = 187.0
Circle = 50.26548245743669
TriangularPyramid = 134.37827515388537
TriangularPrism = 1799.937498914893
RectangularParallelepiped = 4048.0
TriangularPyramid = 174.64845642986177
Ball = 11494.040321933855
TriangularPrism = 106.4894360957931
Cone = 6107.256118578558
QuadrangularPyramid = 410.66666666666663
Triangle = 87.87171046474514
Ball = 4188.790204786391
TriangularPrism = 0.0
QuadrangularPyramid = 1872.0
Circle = 12.566370614359172
Cone = 0.0
Triangle = 0
Trapeze = 300.0
RectangularParallelepiped = 1134.0
Rectangle = 195.0
TriangularPyramid = 162.66843834417702
Ball = 20579.526276115535
Cone = 153.93804002589985
Circle = 3.141592653589793
TriangularPyramid = 1327.3282688669494
TriangularPrism = 0.0
Cone = 1026.2536001726658
Trapeze = 60.0
Cone = 1989.6753472735356
TriangularPrism = 108.44353369380768
Parallelogram = 175.0
Triangle = 6.49519052838329
Trapeze = 95.0
Trapeze = 48.0
Triangle = 98.1946408924642
Parallelogram = 51.0
QuadrangularPyramid = 350.0
Rectangle = 414.0
TriangularPyramid = 610.836584802624
Circle = 1017.8760197630929
Triangle = 0
Cone = 593.7610115284708
Cone = 2412.743157956961
Trapeze = 165.0
RectangularParallelepiped = 2100.0
TriangularPrism = 2774.0447004329258
Cone = 0.0
Trapeze = 192.5
RectangularParallelepiped = 12.0
Cone = 201.06192982974676
RectangularParallelepiped = 2875.0
Circle = 1809.5573684677208
Trapeze = 120.0
Circle = 0.0
Triangle = 0
Rectangle = 210.0
Triangle = 0
Cone = 0.0
Trapeze = 6.5
Ball = 2144.660584850632
Cone = 0.0
Parallelogram = 273.0
RectangularParallelepiped = 374.0
Parallelogram = 17.0
Cone = 678.5840131753953
TriangularPrism = 652.828222046198
Parallelogram = 35.0
TriangularPyramid = 260.5293089718186
QuadrangularPyramid = 1472.0
RectangularParallelepiped = 2176.0
Rectangle = 38.0
QuadrangularPyramid = 66.66666666666666
Rectangle = 0.0
Rectangle = 0.0
Trapeze = 49.0
Parallelogram = 50.0
QuadrangularPyramid = 32.0
TriangularPyramid = 498.83063257983656
Circle = 1963.4954084936207
Parallelogram = 114.0
QuadrangularPyramid = 0.0
TriangularPrism = 0.0
Rectangle = 54.0
Circle = 0.0
TriangularPyramid = 1117.7501211511153
Cone = 0.0
TriangularPrism = 0.0
Trapeze = 184.0
Triangle = 131.14495796636635
Circle = 1520.53084433746
QuadrangularPyramid = 234.0
RectangularParallelepiped = 1026.0
Triangle = 0
Cone = 209.43951023931953
Circle = 452.3893421169302
TriangularPrism = 1916.8766098786848
QuadrangularPyramid = 239.99999999999997
TriangularPrism = 0.0
TriangularPyramid = 312.63517076618234
Ball = 28730.912014629852
Rectangle = 96.0
RectangularParallelepiped = 512.0
Trapeze = 33.0
QuadrangularPyramid = 1140.0
TriangularPrism = 0.0
Circle = 615.7521601035994
QuadrangularPyramid = 23.333333333333332
Circle = 314.1592653589793
QuadrangularPyramid = 0.0
TriangularPyramid = 332.5537550532244
Rectangle = 273.0
TriangularPyramid = 1172.7427342914273
TriangularPrism = 0.0
TriangularPyramid = 331.83206721673736
Ball = 4.1887902047863905
Rectangle = 408.0
QuadrangularPyramid = 325.0
Circle = 153.93804002589985
Triangle = 0
Parallelogram = 150.0
TriangularPyramid = 16.16580753730952
TriangularPyramid = 692.8203230275509
Cone = 5361.65146212658
Triangle = 109.98181667894016
QuadrangularPyramid = 450.0
Parallelogram = 360.0
Triangle = 0
Rectangle = 45.0
Circle = 452.3893421169302
Cone = 3167.772592369708
Cone = 1061.8583169133499
Trapeze = 11.0
Triangle = 0
Circle = 1256.6370614359173
Circle = 314.1592653589793
Rectangle = 323.0
Cone = 1611.6370312915637
Rectangle = 96.0
RectangularParallelepiped = 136.0
TriangularPyramid = 109.11920087683926
Circle = 615.7521601035994
QuadrangularPyramid = 1470.0
Circle = 1134.1149479459152
Circle = 153.93804002589985
Rectangle = 528.0
QuadrangularPyramid = 728.0
QuadrangularPyramid = 0.0
Rectangle = 36.0
Trapeze = 112.5
TriangularPrism = 1864.108365948718
TriangularPrism = 1081.4872572064824
Cone = 6165.899181445567
Parallelogram = 22.0
Circle = 1017.8760197630929
TriangularPrism = 247.9495916512064
TriangularPyramid = 210.4441731196186
Parallelogram = 96.0
Circle = 1385.4423602330987
Parallelogram = 48.0
Triangle = 0
Rectangle = 171.0
TriangularPyramid = 230.9401076758503
Parallelogram = 160.0
Triangle = 0
TriangularPrism = 202.85709255532575
TriangularPyramid = 572.8758046034061
TriangularPrism = 0.0
TriangularPyramid = 0.28867513459481287
Parallelogram = 14.0
Triangle = 49.839743177508446
TriangularPyramid = 424.3524478543749
Triangle = 0
Trapeze = 340.0
RectangularParallelepiped = 6384.0
TriangularPyramid = 381.77286550164
Circle = 153.93804002589985
TriangularPrism = 800.3803783202084
Cone = 376.99111843077515
TriangularPyramid = 210.4441731196186
Cone = 10471.975511965977
Ball = 2144.660584850632
Triangle = 38.05505879643336
TriangularPyramid = 1756.155181307544
Trapeze = 0.0
Trapeze = 64.5
Ball = 33.510321638291124
Circle = 1520.53084433746
Trapeze = 68.0
TriangularPrism = 22.18529918662356
Triangle = 0
